OpenGL version: 3.3.0 NVIDIA 591.86
GLSL version: 3.30 NVIDIA via Cg compiler
OpenGL Version:3.3.0 NVIDIA 591.86
Platform: 393217
Number of Draws: 0
Number of Draws: 2
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 3
Number of Draws: 4
Number of Draws: 4
Number of Draws: 4
Number of Draws: 4
Number of Draws: 4
Number of Draws: 4
Number of Draws: 4
Number of Draws: 4
Number of Draws: 4
Number of Draws: 4
Number of Draws: 4
Number of Draws: 5
Number of Draws: 5
Number of Draws: 5
Number of Draws: 5
Number of Draws: 5
Number of Draws: 5
Number of Draws: 5
Number of Draws: 5
Number of Draws: 5
Number of Draws: 5
Number of Draws: 5
Number of Draws: 5
Number of Draws: 5
Number of Draws: 6
Number of Draws: 6
Number of Draws: 7
Number of Draws: 7
Number of Draws: 7
Number of Draws: 7
Number of Draws: 7
Number of Draws: 7
Number of Draws: 7
Number of Draws: 7
Number of Draws: 7
Number of Draws: 7
Number of Draws: 7
Number of Draws: 7
Number of Draws: 8
Number of Draws: 8
Number of Draws: 8
Number of Draws: 8
Number of Draws: 8
Number of Draws: 8
Number of Draws: 8
Number of Draws: 8
Number of Draws: 8
Number of Draws: 8
Number of Draws: 8
Number of Draws: 8
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
Number of Draws: 10
